fishing boats,colors of,the rainbow
Drake needs to release, a duets album with all,the whisper singers
ARIANA GRANDE, JUST RELEASED A SUMMER JAM,AND IM HERE FOR IT
Every Christmas, I always remember the,smell of canned tuna
Literally made, my eyes water hearing that,news Rest Easy Mac
Thought I was gonna, did this morning She is a,horrible driver
I'm pretty sure the, physical fitness coach is,trying to kill me
Honestly this fly, that keeps flying at me can,bloody well do one
If you fucking for, it don't tell me what I should,be doing OK
Lebron the only, person that can get the best,out of Carmelo
Stop texting people, and see how many people,ride for you real talk
Ironic coming, from the guy who's only at,the club for his cheque
There's always Big black, men from Columbus trying,to talk to me Lol
today started off, shitty but i'm gonna treat,myself with a nap
The stupidity, of people never seems to,shock me anymore
I'm not going through, no changes for nobody,I'll stay to myself
It's a humble club, Now I'm interested who,else put faith in you
I'm naturally, in a bad mood today Woke,up kinda angry
Sun shimmers gently, Coyly a few orchids drink,Quick apples blossom
I wonder if I'll, ever stop ringing my mum,when things go tits up
You know it's going, to RAIN when the sky is two,different colors
excuse me are you, gay i always like to know,if a guy is gay
Jose did say he, doesn't know where Mendes got,the statement from though
Was gonna go to, Vegas lol anyone that,can show me around
Just finished The Ship, of The Dead Loved it Keep up,the fantastic work
im salty i got, to be a cop for once and,i just died like that
I need affection, every so often shit,more than ever now
I'm trying to trust, this process but yet you not,showing me nothing
i have so many, cheesy jokes can i message,someone and tell them
i have the biggest, crush on lil aaron his green,hair is like a drug
Gutted about the, end but was proud of us for,a long time tonight
Conte confesses that, his starting eleven was,a wrong selection
Hiding brownies in, my room was probably not,my best idea
I don't understand, why people think it's okay,to joke about rape
So many parties, tonight and i just wanna,go to all of them
Just trying to take, advantage of this good luck,streak I've been having
Every city, i go they show me love that's,because we real thugs
Man School So Stressful, I Be Trying My Hardest,To Keep My Grades Up
animator is, sassy when you're using it,with Aristotle
i've never felt so, insecure or bad about,myself until now
Classical guitar, is actually so much,fun to learn and play
i feel everything, with such intensity and,it's made my life shit
The same few people, stalk my whole life lol much love,you weird lil bitches
nothing is better, than having someone tell you,that you look happy
North Carolina, gotta have the worst drivers,in America
everything happen, for a reason so I don't,regret anything
i'm going to watch, a silent voice to feed this,sadness inside me
Not going lie I'm, hot over T Pain comment,about Aaliyah
Someone hasn't been, online for a week so they,must be dead Got it
Convinced you can't have, nobody too yourself in,this generation
The bags under my, eyes are the size of a small,country at this point
Lauren told me that, she was jealous and that made,me really useless
taking a mental, break to eat ice cream i cant,do school anymore
Making vegan steak, tacos for the Patriots,game tomorrow night
constantly trying, my best not to get tired,of this all of this
only new records, at the gym today and i'm,stronger then ever
stumbled upon a, podcast called Describing a,Rock and I love it
Nobody can do, a simple thing for me don't,expect shit from me
Dear future husband, you're gonna have real STRUGGLES,when waking me up
People are really, out here claiming people who,don't claim them tragic
every guy loves, a girl who loves food and has,a big appetite
have you ever touched, a black persons dick it's like,a god damn tree trunk
Hopefully I have, better luck shooting pool then,I did hunting deer
This is clearly a, trick to get my eyeballs on,some advertising
New Hobby Watching, Arsenal Fan TV so,hilarious D
Roses are jungle, green sages are gray sugar,is sweet and so on
I'm anxious to build, my credit I can't wait to,pay my next phone bill
You should be writing, like a cannonball in love,with a hiatus
Got to work early, so I could hack up a lung,in the back room first
Patron gonna do, me dirty tonight and I,am so here for it
Sitting on my steps, listening to oldies and,drinking is a mood
Fortunately I'm, seeing clearly for the first,time in a long time
not being able, to play soccer is hitting,me so hard right now
Why does something so, precious have to be contained,in such a weak shell
Even if there are, scars on my feet I'll smile when,I look at you Run
Cause what if blessings, comes through raindrops What if your,healing comes through tears
I'm still trying to, make this a new part if the,cyber lexicon
Who has already, built this and what makes me think,I could do better
Living your truth is, the most empowering tool,you could ever have
My laptop does not, have a dvd reader,Not all of them do
Bout to fuck around, with some polymer clay and,bang out to some Mac
tRump is a corrupt, mob thug KARMA is coming,and SHE is a bitch
In other news I, was an embarrassing drunk,idiot again
i hate when people, ask questions they already,know the answer to
i really wanted, to go to the strawberry,festival this year
NBA TV, Rookie Tatum with monster,Slams in Celtics win
Soccer it's not just, a boy thing and make up it's,not just a girl thing
I have so many, pictures of me on my phone,eating cheeseburgers
I legit drank all, damn weekend Friday to right,now I need jesus
HARMONY CALL ME, GOTTA b in B E A,C H B U M
I just wanna go, to sleep and I'm fucking wide,ass awake I'm pissed
There is a swelling, storm And I'm caught up in the,middle of it all
who do the hockey, gods say deserves to win this,soon to be OT game
a lot of people, seem attractive until you,see the way they think
barcenas yeah but, you exclusively play meme,games its depressing
Many people are, proved innocent after years,of imprisonment
Still sick Hopefully, picking up some medicine,will help me kick it
I've been trying to, get rid of this baby weight,for almost two years
I absolutely, HATE it when other girls call,MY boyfriend honey
